msno,date,predict,actual
/Mwxm0JIgiLJKy1TBNxvQhtJkTqpQv57PtVIL7oe3gE=,2016-10-01,0,0
/NEX8H4fh1iL+pALYWKHfnWpoTro8n9nO8270fsLJug=,2016-10-01,0,0
/OAIroNZub+3YqCYDd9Lzed+h/TNzpYp18ncfSfIDOk=,2016-10-01,0,0
/ONoAdH91Jik7STX/hVDipgEzh5B00Q6K+eW58uVQdg=,2016-10-01,0,0
/OOakccoQNUA8288sk2j2VxWIoiRtlkzccbRegtJngA=,2016-10-01,0,0
/P0WMWdLKoq0q2+ZwebzN6QeSy+exHGn494liQKcR8A=,2016-10-01,0,0
/PAgTlRtGljP/SY8iplNbQ1chom4Ibnr81pMhLFJJbc=,2016-10-01,0,0
/PPVzooUvken/nATVLFsrjL1wbJur4FoDihF5HWRSS8=,2016-10-01,0,0
/PQk/sPb+NaF4URt2hsJjN99n/RZ05J78CP32jVx8qk=,2016-10-01,0,0
/Pq3fLX8L0lqV3B9Dq6t5s8SNR+LjQRkS1lPB7X8ojw=,2016-10-01,0,0
/Q2sOQKlUBJI0X+rgHfKrMmuMWOa27vre4TF6D0e+cE=,2016-10-01,0,0
/Q8ShrmUKdRpvK0pxKj0nWs4F88m9f6fDURpnCy3zzk=,2016-10-01,0,0
/QQOH30ivQo9uD6PhKLq8KH+gcaDWpu+M9hH6l+0fkM=,2016-10-01,0,0
/RPvEEQJRZ0MKYKKCJVs8xBKWAw/6KBQm8vcP7r61fE=,2016-10-01,0,0
/Rd6FjL2E00U/a7MtcZ+HK70jMbaIqhg3KjZb+fmFeA=,2016-10-01,0,0
/SDUFyi/vhFdPPhrUHEN4S7GvCUb3I5mL1XyRe+T9Fw=,2016-10-01,0,0
/SVNHAgIso962VMe+p/ptF9nIf9275vB+7x4ODh4jN4=,2016-10-01,0,0
/SWIwFQOYuHRXZLyjcv+uOUh22iC0qI2JF6BfdcFPhc=,2016-10-01,0,0
/SZw//LzPA/89jmVrLjJZqH9ixXhaSTzAcLajlL7QoQ=,2016-10-01,0,0
/UYz/X/yaX+OkH95klCIXgYj0K1OSaBZdbdzhtjOprE=,2016-10-01,0,0
/VHVfheZW3IEanFgsb2la4ZSqNkIpOeSg9qUFMPI6Ts=,2016-10-01,0,0
/WfsvFNvK0aqEIK932BebVVaYv4LXRkYpoSsSj+OyBY=,2016-10-01,0,0
/Wun+6vlCBPT+8N9zHf6eBy6ZZsFTs98DuJaDMZ6W3o=,2016-10-01,0,0
/Y0FaLXz8cx3RyBcmMOijnFsG3A3/UNTRD9sn0TZRxg=,2016-10-01,0,0
/Y9bH1Bhp8W/brSZKlEEvDfhB9iCsDZAxp43NbLd3TE=,2016-10-01,0,0
/YKqO/ASGLF4NxG2n9h5BFhO6EjcKJHiF1CuCTjmzC0=,2016-10-01,0,0
/Z29mZlhAi3O7dzmnbExbRr+1rjAD3gCeno82POPqro=,2016-10-01,0,0
/ZbIosjZJEREm7pmMHDt02pX3qjIdbmf3Ulya8hLQ4E=,2016-10-01,0,0
/ZtQ5hfiEZ6SC309YKwHj2xw7Vh9Geq1+5Ra5EzdjoI=,2016-10-01,1,0
/ZwllyIZDPRE6QR0EzAuDwK44EZ95goUOXrdl9c6a/w=,2016-10-01,0,0
/annuNHaKv0xGjwPBHMycT4pGab5+J/O4sPFeoUzVsE=,2016-10-01,0,0
/b4C/3rlvi1T2b43ynlb2HXNwJ5dd5H4tcu/xVm7VEw=,2016-10-01,0,0
/bKLNGKuI9pu92f273t+A8M5ye25ti16ozr/AaXLFf8=,2016-10-01,0,0
/bifrxfVINljxnlfMePTjT/AX6q1oYqcwFF0zbCNSWk=,2016-10-01,0,0
/bntR8v8NoHZxiUt6ywCEuRU9W6eKbwKkEi3ZBclWx0=,2016-10-01,0,0
/cTTSh59J+yPNgLnoyzxfSMxBKkUkw4uZ3mSXh04vTA=,2016-10-01,0,0
/cidehkBqQxSuG0M5cIjCF0kElfXisfrk1BZdVx4cEo=,2016-10-01,0,0
/d8DLcEzD5/wrIQeuYH+OU6takd2NrCpr24HKqRx1xY=,2016-10-01,0,0
/dAxqOzrpTfllM0vvTtnIX7ekpg2bljQKDBuykI1LCo=,2016-10-01,0,0
/dIYp4aLdoCq3XOWueSUvSyzsdsBKj3b6PXL1eX1wrQ=,2016-10-01,0,0
/dO4NGj/1ski4ivpjbPyOMD04V745M2ZUnHIzKhQXJk=,2016-10-01,0,0
/e+Un2QBMpf5ZAoxZL7gpI3pi0AjooaAdITlRRxiIGs=,2016-10-01,0,0
